run_id,scenario,artifact_dir,gate_verdict,expected_verdict,gate_matches_rubric
abr-valid_co-0001,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_00_abr-valid_co-0001,VALID,VALID,True
abr-valid_co-0002,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_01_abr-valid_co-0002,VALID,VALID,True
abr-valid_co-0003,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_02_abr-valid_co-0003,VALID,VALID,True
abr-valid_co-0004,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_03_abr-valid_co-0004,VALID,VALID,True
abr-valid_co-0005,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_04_abr-valid_co-0005,VALID,VALID,True
abr-valid_co-0006,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_05_abr-valid_co-0006,VALID,VALID,True
abr-valid_co-0007,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_06_abr-valid_co-0007,VALID,VALID,True
abr-valid_co-0008,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_07_abr-valid_co-0008,VALID,VALID,True
abr-valid_co-0009,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_08_abr-valid_co-0009,VALID,VALID,True
abr-valid_co-0010,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_09_abr-valid_co-0010,VALID,VALID,True
abr-valid_co-0011,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_10_abr-valid_co-0011,VALID,VALID,True
abr-valid_co-0012,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_11_abr-valid_co-0012,VALID,VALID,True
abr-valid_co-0013,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_12_abr-valid_co-0013,VALID,VALID,True
abr-valid_co-0014,valid_complete_trace,/Users/monikadvorackova/projekty/aigov-compliance-engine/aigov-compliance-engine/experiments/output/artifact_bundle_replay_artifacts/valid_complete_trace/rep_13_abr-valid_co-0014,VALID,VALID,True
